Unnamed: 0,images_path,masks_path
33,d:\s3_dataset_entire\S3_entire-dataset\1706094611_15947df6367645659fecb9684bc6e178\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1706094611_15947df6367645659fecb9684bc6e178\mask\mask.png
35,d:\s3_dataset_entire\S3_entire-dataset\1702280855_411826396a9c4c86a1b2fe2d98a14f13\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702280855_411826396a9c4c86a1b2fe2d98a14f13\mask\mask.png
38,d:\s3_dataset_entire\S3_entire-dataset\1702358144_6b9ff40576fe46c0901ac262e8127245\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702358144_6b9ff40576fe46c0901ac262e8127245\mask\mask.png
40,d:\s3_dataset_entire\S3_entire-dataset\1688546154_9e161d40f36949c79849bc821588397d\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1688546154_9e161d40f36949c79849bc821588397d\mask\mask.png
42,d:\s3_dataset_entire\S3_entire-dataset\1690644434_a1ebaa4f6f514d0cb291f1c0cd1a21d1\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690644434_a1ebaa4f6f514d0cb291f1c0cd1a21d1\mask\mask.png
43,d:\s3_dataset_entire\S3_entire-dataset\1705998163_b93ab227c71341d5bd797e022cc497c6\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705998163_b93ab227c71341d5bd797e022cc497c6\mask\mask.png
46,d:\s3_dataset_entire\S3_entire-dataset\1697432762_08ba2b8bbab2482e9e71e17fa4ba39f4\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1697432762_08ba2b8bbab2482e9e71e17fa4ba39f4\mask\mask.png
47,d:\s3_dataset_entire\S3_entire-dataset\1715080436_948e7d4e13f24c26a90131646ce27484\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1715080436_948e7d4e13f24c26a90131646ce27484\mask\mask.png
50,d:\s3_dataset_entire\S3_entire-dataset\1692633956_9ee955be0df84ecabb043121496edfa0\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692633956_9ee955be0df84ecabb043121496edfa0\mask\mask.png
51,d:\s3_dataset_entire\S3_entire-dataset\1690582091_6dcb43e4f51048e6981152dee7c9f0ed\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690582091_6dcb43e4f51048e6981152dee7c9f0ed\mask\mask.png
54,d:\s3_dataset_entire\S3_entire-dataset\1702896974_489f79ff4c9b481e824cad837d5fc457\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702896974_489f79ff4c9b481e824cad837d5fc457\mask\mask.png
55,d:\s3_dataset_entire\S3_entire-dataset\1700923109_3faee629307c4a3399296f95074752d1\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1700923109_3faee629307c4a3399296f95074752d1\mask\mask.png
56,d:\s3_dataset_entire\S3_entire-dataset\1712310929_02df68b475604ad9b75d3726b422a763\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1712310929_02df68b475604ad9b75d3726b422a763\mask\mask.png
57,d:\s3_dataset_entire\S3_entire-dataset\1701683633_3ef99975c1314a12808906bcfc5681f9\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701683633_3ef99975c1314a12808906bcfc5681f9\mask\mask.png
58,d:\s3_dataset_entire\S3_entire-dataset\1702906965_5fd40f67dcf34e88a341787df3e0d187\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702906965_5fd40f67dcf34e88a341787df3e0d187\mask\mask.png
59,d:\s3_dataset_entire\S3_entire-dataset\1705651342_d6be449904ef41a090d4d57e9c2efe22\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705651342_d6be449904ef41a090d4d57e9c2efe22\mask\mask.png
60,d:\s3_dataset_entire\S3_entire-dataset\1706014762_17bec479be204f81a0122c129f51a4ae\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1706014762_17bec479be204f81a0122c129f51a4ae\mask\mask.png
61,d:\s3_dataset_entire\S3_entire-dataset\1710424992_63ba66bd9bfc4b37806b5ebb06ac0913\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1710424992_63ba66bd9bfc4b37806b5ebb06ac0913\mask\mask.png
64,d:\s3_dataset_entire\S3_entire-dataset\1701079751_dea9d67bd00b4f54ab8afa5c3b8447ed\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701079751_dea9d67bd00b4f54ab8afa5c3b8447ed\mask\mask.png
65,d:\s3_dataset_entire\S3_entire-dataset\1689672663_d5689f64b5f642cdb5a9f18e0e32526c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689672663_d5689f64b5f642cdb5a9f18e0e32526c\mask\mask.png
66,d:\s3_dataset_entire\S3_entire-dataset\1691242160_7544bce797bd4062b09b15b91d7e7172\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1691242160_7544bce797bd4062b09b15b91d7e7172\mask\mask.png
67,d:\s3_dataset_entire\S3_entire-dataset\1708348868_2f488fa8a7d24246bc1c8a6968fbb629\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1708348868_2f488fa8a7d24246bc1c8a6968fbb629\mask\mask.png
68,d:\s3_dataset_entire\S3_entire-dataset\1704800559_fb35619ddfb64a1fbd4dd7f16892d889\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1704800559_fb35619ddfb64a1fbd4dd7f16892d889\mask\mask.png
69,d:\s3_dataset_entire\S3_entire-dataset\1698928092_9db0bc1d6c704372a0c96a284c1f8c32\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1698928092_9db0bc1d6c704372a0c96a284c1f8c32\mask\mask.png
70,d:\s3_dataset_entire\S3_entire-dataset\1692881620_8d5080a47f3f40de91441a7ceba8ba5f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692881620_8d5080a47f3f40de91441a7ceba8ba5f\mask\mask.png
71,d:\s3_dataset_entire\S3_entire-dataset\1713429823_6dbbc554763f49bcbf8c59e4a44dfdf3\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1713429823_6dbbc554763f49bcbf8c59e4a44dfdf3\mask\mask.png
72,d:\s3_dataset_entire\S3_entire-dataset\1703774379_9389d2561fea44edb44aaf86b36128a5\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703774379_9389d2561fea44edb44aaf86b36128a5\mask\mask.png
73,d:\s3_dataset_entire\S3_entire-dataset\1708081500_f4e08bc3dc0a4b29af0cd204ca669e03\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1708081500_f4e08bc3dc0a4b29af0cd204ca669e03\mask\mask.png
75,d:\s3_dataset_entire\S3_entire-dataset\1690576605_7d1a51811e28498ba3066181474527ab\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690576605_7d1a51811e28498ba3066181474527ab\mask\mask.png
76,d:\s3_dataset_entire\S3_entire-dataset\1690581518_dc72909a1da14cb2aa074560f1a6f511\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690581518_dc72909a1da14cb2aa074560f1a6f511\mask\mask.png
77,d:\s3_dataset_entire\S3_entire-dataset\1690736123_23ae4dc6d4df49e0bb12b233b75352f0\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690736123_23ae4dc6d4df49e0bb12b233b75352f0\mask\mask.png
81,d:\s3_dataset_entire\S3_entire-dataset\1690580242_fac38c2ab7ac46439bcc40f2744d61f9\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690580242_fac38c2ab7ac46439bcc40f2744d61f9\mask\mask.png
82,d:\s3_dataset_entire\S3_entire-dataset\1689283427_e95ad59a356449a19aa903035bc5b147\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689283427_e95ad59a356449a19aa903035bc5b147\mask\mask.png
83,d:\s3_dataset_entire\S3_entire-dataset\1690637164_74d27f7310b24bb49786c7e69cd6a495\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690637164_74d27f7310b24bb49786c7e69cd6a495\mask\mask.png
84,d:\s3_dataset_entire\S3_entire-dataset\1704187070_731e2f1ba5bd4ae1b30441d3f670489f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1704187070_731e2f1ba5bd4ae1b30441d3f670489f\mask\mask.png
85,d:\s3_dataset_entire\S3_entire-dataset\1701941102_09dc7955302e4813b1153fb7fda2f71f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701941102_09dc7955302e4813b1153fb7fda2f71f\mask\mask.png
86,d:\s3_dataset_entire\S3_entire-dataset\1705575196_10a6c9ea4fcb42e08f597fad8aa9328c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705575196_10a6c9ea4fcb42e08f597fad8aa9328c\mask\mask.png
87,d:\s3_dataset_entire\S3_entire-dataset\1702558957_5c52e9ca90f64f29912913b3f567d6a5\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702558957_5c52e9ca90f64f29912913b3f567d6a5\mask\mask.png
88,d:\s3_dataset_entire\S3_entire-dataset\1707254086_9b47d4bbb9f54f6f8c5f0a223ac1d833\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707254086_9b47d4bbb9f54f6f8c5f0a223ac1d833\mask\mask.png
89,d:\s3_dataset_entire\S3_entire-dataset\1688390853_173063cf443749609948679ef38808e7\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1688390853_173063cf443749609948679ef38808e7\mask\mask.png
90,d:\s3_dataset_entire\S3_entire-dataset\1702451230_6ba0ab334cd54bafac5e88a37d6cc44e\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702451230_6ba0ab334cd54bafac5e88a37d6cc44e\mask\mask.png
92,d:\s3_dataset_entire\S3_entire-dataset\1702038041_e14159b287bb48b09214551ab42b0d03\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702038041_e14159b287bb48b09214551ab42b0d03\mask\mask.png
93,d:\s3_dataset_entire\S3_entire-dataset\1709304374_d617a9e767c64ce3bab3454870fa6e54\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1709304374_d617a9e767c64ce3bab3454870fa6e54\mask\mask.png
94,d:\s3_dataset_entire\S3_entire-dataset\1700833808_436fd0a46be04b5cabe2e479393c6d7c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1700833808_436fd0a46be04b5cabe2e479393c6d7c\mask\mask.png
95,d:\s3_dataset_entire\S3_entire-dataset\1690983493_b08930cda9d94c56a04f6636394adf73\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690983493_b08930cda9d94c56a04f6636394adf73\mask\mask.png
97,d:\s3_dataset_entire\S3_entire-dataset\1703696107_dd092793cdc34aefb395176211f57945\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703696107_dd092793cdc34aefb395176211f57945\mask\mask.png
98,d:\s3_dataset_entire\S3_entire-dataset\1704446361_4bb32a213901413ca428c0150fd8b153\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1704446361_4bb32a213901413ca428c0150fd8b153\mask\mask.png
99,d:\s3_dataset_entire\S3_entire-dataset\1689672387_a965af8acce74f8daf8b19d8decff241\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689672387_a965af8acce74f8daf8b19d8decff241\mask\mask.png
102,d:\s3_dataset_entire\S3_entire-dataset\1689873816_6ca861c9b4364b9ca4eed3bb9bdf7d6a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689873816_6ca861c9b4364b9ca4eed3bb9bdf7d6a\mask\mask.png
104,d:\s3_dataset_entire\S3_entire-dataset\1690278242_acce1387ef954d47badd49569fae347f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690278242_acce1387ef954d47badd49569fae347f\mask\mask.png
105,d:\s3_dataset_entire\S3_entire-dataset\1701944694_0be1026983454877b08a507b11f49935\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701944694_0be1026983454877b08a507b11f49935\mask\mask.png
106,d:\s3_dataset_entire\S3_entire-dataset\1690642938_c8366182534e440e9e0bff262a8facb2\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690642938_c8366182534e440e9e0bff262a8facb2\mask\mask.png
107,d:\s3_dataset_entire\S3_entire-dataset\1690638599_8179cbd9fc184be7ae70d53a34668659\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690638599_8179cbd9fc184be7ae70d53a34668659\mask\mask.png
109,d:\s3_dataset_entire\S3_entire-dataset\1703070299_15e773ce2e0648c1b05035e7881c475f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703070299_15e773ce2e0648c1b05035e7881c475f\mask\mask.png
111,d:\s3_dataset_entire\S3_entire-dataset\1692766993_efa82380694146fb8a325184810b6bdd\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692766993_efa82380694146fb8a325184810b6bdd\mask\mask.png
112,d:\s3_dataset_entire\S3_entire-dataset\1702896583_f95c6f87c48f4171a1bd6f0580922e3a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702896583_f95c6f87c48f4171a1bd6f0580922e3a\mask\mask.png
113,d:\s3_dataset_entire\S3_entire-dataset\1708944725_ab6556960cce4daca64c3c495a72ae24\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1708944725_ab6556960cce4daca64c3c495a72ae24\mask\mask.png
114,d:\s3_dataset_entire\S3_entire-dataset\1701170920_a5070e7fd0f54062bd8ec464be8ef1ba\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701170920_a5070e7fd0f54062bd8ec464be8ef1ba\mask\mask.png
116,d:\s3_dataset_entire\S3_entire-dataset\1704549366_329e3d9dd7ed4b45981aba44c4029629\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1704549366_329e3d9dd7ed4b45981aba44c4029629\mask\mask.png
117,d:\s3_dataset_entire\S3_entire-dataset\1713379624_8073c884c7f64123901d91b1a8829256\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1713379624_8073c884c7f64123901d91b1a8829256\mask\mask.png
118,d:\s3_dataset_entire\S3_entire-dataset\1707213129_2fd4c8b7688045deba4178913b2c3380\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707213129_2fd4c8b7688045deba4178913b2c3380\mask\mask.png
120,d:\s3_dataset_entire\S3_entire-dataset\1696417050_fd2fb1681a7942ebaff8a24b49dd685a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1696417050_fd2fb1681a7942ebaff8a24b49dd685a\mask\mask.png
121,d:\s3_dataset_entire\S3_entire-dataset\1706525210_2ea227cd3ca04cdda69aed103b977cda\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1706525210_2ea227cd3ca04cdda69aed103b977cda\mask\mask.png
122,d:\s3_dataset_entire\S3_entire-dataset\1703071353_2b0489413c664f75a44daa1c3f67864c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703071353_2b0489413c664f75a44daa1c3f67864c\mask\mask.png
126,d:\s3_dataset_entire\S3_entire-dataset\1690575832_74beb06c4d934f3391075d9d8927712d\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690575832_74beb06c4d934f3391075d9d8927712d\mask\mask.png
127,d:\s3_dataset_entire\S3_entire-dataset\1706874901_abba4c6bb9b546c7bf9cede62fc03fbc\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1706874901_abba4c6bb9b546c7bf9cede62fc03fbc\mask\mask.png
129,d:\s3_dataset_entire\S3_entire-dataset\1693828623_6be1f8994fc14ba9995ee999e0743e8b\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1693828623_6be1f8994fc14ba9995ee999e0743e8b\mask\mask.png
131,d:\s3_dataset_entire\S3_entire-dataset\1689671164_de8e77230dea4f18bfa213bfa423f817\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689671164_de8e77230dea4f18bfa213bfa423f817\mask\mask.png
132,d:\s3_dataset_entire\S3_entire-dataset\1690576198_d5b7fb2fc670449fae29853af8a1ddb7\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690576198_d5b7fb2fc670449fae29853af8a1ddb7\mask\mask.png
133,d:\s3_dataset_entire\S3_entire-dataset\1704372689_986cdabdfde64580ae6db6ce85d66c8e\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1704372689_986cdabdfde64580ae6db6ce85d66c8e\mask\mask.png
134,d:\s3_dataset_entire\S3_entire-dataset\1709792319_6993c53649194535ad95622db94bf928\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1709792319_6993c53649194535ad95622db94bf928\mask\mask.png
135,d:\s3_dataset_entire\S3_entire-dataset\1689596613_ee77c529f7d64e2ca6ac81e9bc958d24\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1689596613_ee77c529f7d64e2ca6ac81e9bc958d24\mask\mask.png
136,d:\s3_dataset_entire\S3_entire-dataset\1694183271_dbbbc0561b874812a895344208a92d79\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1694183271_dbbbc0561b874812a895344208a92d79\mask\mask.png
137,d:\s3_dataset_entire\S3_entire-dataset\1690641657_d9dd40d61b784c40b97f1c9be4db81cc\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690641657_d9dd40d61b784c40b97f1c9be4db81cc\mask\mask.png
140,d:\s3_dataset_entire\S3_entire-dataset\1713446237_0f7ff63c16b14a58a644e589446ecf0f\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1713446237_0f7ff63c16b14a58a644e589446ecf0f\mask\mask.png
142,d:\s3_dataset_entire\S3_entire-dataset\1701433088_a02ba825e2aa48e2a128023574970785\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701433088_a02ba825e2aa48e2a128023574970785\mask\mask.png
143,d:\s3_dataset_entire\S3_entire-dataset\1702039079_1e7de7cfe8fd4c21b169868a43a2ed83\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702039079_1e7de7cfe8fd4c21b169868a43a2ed83\mask\mask.png
144,d:\s3_dataset_entire\S3_entire-dataset\1707269865_bc370c9ca38e43c091750c7eb40587c5\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707269865_bc370c9ca38e43c091750c7eb40587c5\mask\mask.png
146,d:\s3_dataset_entire\S3_entire-dataset\1698062972_e94c0aa63d524085b187bf86536b984d\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1698062972_e94c0aa63d524085b187bf86536b984d\mask\mask.png
148,d:\s3_dataset_entire\S3_entire-dataset\1705346411_2a2856a208cc49169b151bab9efd5574\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705346411_2a2856a208cc49169b151bab9efd5574\mask\mask.png
149,d:\s3_dataset_entire\S3_entire-dataset\1690292705_e7537c1d95a7429cbe07f0dd2fbd79f6\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690292705_e7537c1d95a7429cbe07f0dd2fbd79f6\mask\mask.png
150,d:\s3_dataset_entire\S3_entire-dataset\1690636487_f090a0c0746042278312697ee30fd636\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690636487_f090a0c0746042278312697ee30fd636\mask\mask.png
151,d:\s3_dataset_entire\S3_entire-dataset\1690553029_3e7b1ea65695435981ea0615413d2325\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690553029_3e7b1ea65695435981ea0615413d2325\mask\mask.png
152,d:\s3_dataset_entire\S3_entire-dataset\1706098273_b75bff523584410d8612cfdf1532b297\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1706098273_b75bff523584410d8612cfdf1532b297\mask\mask.png
155,d:\s3_dataset_entire\S3_entire-dataset\1713260540_1a280e4fa5a148c783d3ff364c65ecbb\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1713260540_1a280e4fa5a148c783d3ff364c65ecbb\mask\mask.png
156,d:\s3_dataset_entire\S3_entire-dataset\1690462049_9315f4fe80a040fa94554cd45fb829e2\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690462049_9315f4fe80a040fa94554cd45fb829e2\mask\mask.png
158,d:\s3_dataset_entire\S3_entire-dataset\1692867466_1043fc0243fe4220bab7c3934a7ba744\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692867466_1043fc0243fe4220bab7c3934a7ba744\mask\mask.png
159,d:\s3_dataset_entire\S3_entire-dataset\1712226864_d80aea152fbe4ce896e9f2a54cefc3b7\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1712226864_d80aea152fbe4ce896e9f2a54cefc3b7\mask\mask.png
160,d:\s3_dataset_entire\S3_entire-dataset\1705650807_68b985fdde9343579778d74ce1e90b1a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705650807_68b985fdde9343579778d74ce1e90b1a\mask\mask.png
